OBJECTID,access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,maximum_vehicle_class,open_date,owner_type_code,related_stations,restricted_access,status_code,funding_sources,facility_type,station_name,station_phone,updated_at,geocode_status,latitude,longitude,city,country,intersection_directions,plus4,state,street_address,zip,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_has_rng,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,ev_workplace_charging,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_has_rng,lng_renewable_source,lng_vehicle_class,lpg_nozzle_types,lpg_primary,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blended_with_biodiesel,rd_blends,rd_blends_fr,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_charging_units,federal_agency_id,federal_agency_code,federal_agency_name,ev_network_ids_station,ev_network_ids_posts,x,y
252,public,8am-4:30pm M-F,CALL,Cash D M V,9/12/2025 12:00:00 AM,,LPG,Public - Call ahead,14133,HD,7/8/1999 12:00:00 AM,P,[],0,E,,FUEL_RESELLER,Hicksgas,217-395-2271,9/12/2025 9:23:31 PM,GPS,40.6144051035765,-88.1762632023773,Roberts,US,,,IL,202 N Highway 54,60962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[""ACME""],0,,,,,,,,,,,,Public - Appeler à l'avance,,None,,,,,,-9815736.7197,4955631.7983
253,public,7am-4:30pm daily,CREDIT_CARD_AFTER_HOURS,Cash M V,9/12/2025 12:00:00 AM,,LPG,Public - Credit card after hours,14137,,7/8/1999 12:00:00 AM,P,"[""{'id': 29430, 'access_code': 'public', 'fuel_type_code': 'E85'}""]",0,E,,FUEL_RESELLER,Blick & Blick Oil Inc,309-582-2012,9/12/2025 9:23:31 PM,200-9,41.200666,-90.74496,Aledo,US,0.5 block north of Highway 17,,IL,203 SE 5th Ave,61231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[""ACME""],0,,,,,,,,,,,,Public - Carte de crédit après les heures d'ouverture,,None,,,,,,-10101682.7393,5041985.0611
254,public,"7:30am-4:30pm M-F, 8am-12pm Sat",CALL,CREDIT Debit,10/13/2025 12:00:00 AM,,LPG,Public - Call ahead,14148,HD,7/8/1999 12:00:00 AM,P,[],0,E,,GAS_STATION,Gateway FS,618-526-7243,10/13/2025 8:52:30 PM,200-9,38.610698,-89.534246,Breese,US,Route 50 W,,IL,12804 Old Drive in Rd,62230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[""ACME""],0,,,,,,,,,,,,Public - Appeler à l'avance,,None,,,,,,-9966906.6733,4666059.8266
255,public,8am-5pm M-F,CALL,Cash M V,10/13/2025 12:00:00 AM,,LPG,Public - Call ahead,14158,HD,7/8/1999 12:00:00 AM,P,[],0,E,,FUEL_RESELLER,Harper Propane Service Inc,618-242-4359,10/13/2025 8:52:30 PM,200-9,38.315898,-88.971133,Mt. Vernon,US,"0.75 mile west of I-57/IL 15 interchange to Shiloh Dr, north 0.25 mile",,IL,13079 N Shiloh Dr,62864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[""ACME""],0,,,,,,,,,,,,Public - Appeler à l'avance,,None,,,,,,-9904221.2209,4624148.2245
256,public,8am-5pm M-F,,Cash Checks M V,10/13/2025 12:00:00 AM,,LPG,Public,14160,HD,7/8/1999 12:00:00 AM,P,[],0,E,,FUEL_RESELLER,Southern FS,618-457-5919,10/13/2025 8:52:30 PM,200-9,37.738458,-89.215318,Carbondale,US,At Washington,,IL,1114 N Marion St,62901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[""ACME""],0,,,,,,,,,,,,Public,,None,,,,,,-9931403.7707,4542544.2999
365,public,"7:30am-4:30pm M, 8am-4:30pm T-F",,A Cash Checks D M V,9/12/2025 12:00:00 AM,,LPG,Public,15351,HD,7/8/1999 12:00:00 AM,P,[],0,E,,FUEL_RESELLER,Ferrellgas,815-877-7333,9/12/2025 9:23:31 PM,200-9,42.371222,-89.032441,Machesney Park,US,North of 173 on 251,,IL,10522 N 2nd St,61115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[""ACME""],1,,,,,,,,,,,,Public,,None,,,,,,-9911045.9962,5216749.9245
382,public,24 hours daily,CALL,A Cash D M V,10/13/2025 12:00:00 AM,,LPG,Public - Call ahead,15581,HD,7/8/1999 12:00:00 AM,P,[],0,E,,GAS_STATION,Boente Shell,217-854-3164,10/13/2025 8:52:30 PM,200-9,39.279495,-89.888411,Carlinville,US,Route 108 west of town square,,IL,543 W Main St,62626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[""ACME""],0,,,,,,,,,,,,Public - Appeler à l'avance,,None,,,,,,-10006332.1407,4761786.2755
702,public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",CALL,A Cash D M V,5/12/2025 12:00:00 AM,,LPG,Public - Call ahead,19916,HD,11/1/2000 12:00:00 AM,P,[],0,E,,RENTAL_CAR_RETURN,U-Haul,847-298-1170,10/29/2025 9:41:01 PM,200-9,42.0236488207091,-87.9212683558197,Des Plaines,US,"Corner of Oakton and Mt. Prospect, between 83 and Manheim",,IL,1560 Mount Prospect Rd,60018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""ACME"",""QUICK_CONNECT""]",0,,,,,,,,,,,,Public - Appeler à l'avance,,None,,,,,,-9787350.8233,5164522.5812
703,public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",CALL,A Cash D M V,5/12/2025 12:00:00 AM,,LPG,Public - Call ahead,19918,HD,11/1/2000 12:00:00 AM,P,[],0,E,,RENTAL_CAR_RETURN,U-Haul,847-864-8877,10/29/2025 9:41:01 PM,200-9,42.041376,-87.703147,Evanston,US,Between Dodge and McCormick,,IL,2125 Dempster St,60201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""ACME"",""QUICK_CONNECT""]",0,,,,,,,,,,,,Public - Appeler à l'avance,,None,,,,,,-9763069.665,5167179.3846
704,public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",CALL,A Cash D M V,5/12/2025 12:00:00 AM,,LPG,Public - Call ahead,19919,HD,11/1/2000 12:00:00 AM,P,[],0,E,,RENTAL_CAR_RETURN,U-Haul,708-333-7840,10/29/2025 9:41:01 PM,200-9,41.600255,-87.688178,Markham,US,,,IL,2915 W 159th St,60428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""ACME"",""QUICK_CONNECT""]",0,,,,,,,,,,,,Public - Appeler à l'avance,,None,,,,,,-9761403.3235,5101286.3983
