Income (Median family income) for Illinois by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2019-2023"
Sorted by Value

County,FIPS,Value (Dollars),Rank within US (of 3139 counties)
"United States",00000,"96,922","N/A"
"Illinois",17000,"103,504","17 of 52"
"Alexander County",17003,"60,875","2,830"
"Pulaski County",17153,"60,905","2,825"
"Franklin County",17055,"67,459","2,492"
"Hardin County",17069,"68,008","2,467"
"White County",17193,"69,832","2,368"
"Gallatin County",17059,"72,386","2,182"
"Saline County",17165,"72,510","2,165"
"Fayette County",17051,"72,652","2,159"
"Coles County",17029,"73,684","2,089"
"Edwards County",17047,"73,895","2,065"
"Edgar County",17045,"74,364","2,029"
"Clay County",17025,"74,401","2,027"
"Jefferson County",17081,"74,499","2,023"
"Greene County",17061,"74,519","2,022"
"Lawrence County",17101,"74,741","2,011"
"Fulton County",17057,"74,828","2,002"
"McDonough County",17109,"74,951","1,996"
"Perry County",17145,"75,049","1,986"
"Hamilton County",17065,"75,333","1,965"
"Vermilion County",17183,"75,464","1,956"
"Cass County",17017,"76,426","1,875"
"Wayne County",17191,"76,472","1,871"
"Henderson County",17071,"76,563","1,864"
"Massac County",17127,"76,848","1,845"
"Johnson County",17087,"77,213","1,814"
"Jackson County",17077,"77,348","1,804"
"Carroll County",17015,"77,768","1,766"
"Marion County",17121,"77,817","1,763"
"Richland County",17159,"78,589","1,702"
"Knox County",17095,"79,128","1,655"
"Stephenson County",17177,"79,462","1,623"
"Pike County",17149,"80,158","1,580"
"Christian County",17021,"80,181","1,579"
"Mason County",17125,"80,426","1,564"
"Stark County",17175,"81,042","1,521"
"Winnebago County",17201,"81,456","1,495"
"Iroquois County",17075,"81,973","1,453"
"Logan County",17107,"82,344","1,421"
"Bureau County",17011,"82,471","1,413"
"Warren County",17187,"82,684","1,396"
"Union County",17181,"83,539","1,328"
"Wabash County",17185,"83,731","1,317"
"Shelby County",17173,"84,015","1,289"
"Macoupin County",17117,"84,339","1,269"
"Macon County",17115,"84,901","1,220"
"Clark County",17023,"84,951","1,213"
"Hancock County",17067,"85,081","1,204"
"Ford County",17053,"85,122","1,199"
"Lee County",17103,"85,122","1,199"
"Williamson County",17199,"85,336","1,180"
"Whiteside County",17195,"85,370","1,178"
"Schuyler County",17169,"85,464","1,169"
"Brown County",17009,"85,645","1,155"
"Crawford County",17033,"86,023","1,133"
"Adams County",17001,"86,166","1,128"
"Kankakee County",17091,"86,403","1,114"
"Montgomery County",17135,"86,565","1,104"
"Bond County",17005,"86,638","1,095"
"Rock Island County",17161,"87,207","1,071"
"Douglas County",17041,"87,355","1,057"
"La Salle County",17099,"88,077","1,021"
"Marshall County",17123,"88,156","1,016"
"Pope County",17151,"88,393","994"
"Peoria County",17143,"88,576","984"
"Henry County",17073,"89,207","947"
"Morgan County",17137,"89,250","942"
"Randolph County",17157,"89,319","939"
"Livingston County",17105,"89,586","924"
"De Witt County",17039,"89,912","910"
"Moultrie County",17139,"91,635","829"
"Scott County",17171,"92,169","810"
"Jasper County",17079,"92,214","807"
"Mercer County",17131,"92,255","805"
"St. Clair County",17163,"92,727","775"
"Putnam County",17155,"93,265","751"
"Jo Daviess County",17085,"93,609","737"
"Effingham County",17049,"93,649","734"
"DeKalb County",17037,"93,970","720"
"Cumberland County",17035,"93,996","717"
"Ogle County",17141,"94,155","710"
"Washington County",17189,"94,529","691"
"Madison County",17119,"96,412","599"
"Menard County",17129,"96,413","598"
"Champaign County",17019,"97,100","569"
"Jersey County",17083,"97,557","548"
"Tazewell County",17179,"97,571","546"
"Piatt County",17147,"98,731","509"
"Boone County",17007,"99,747","474"
"Sangamon County",17167,"101,807","424"
"Clinton County",17027,"102,033","417"
"Cook County",17031,"102,297","408"
"Calhoun County",17013,"107,903","293"
"Woodford County",17203,"109,137","272"
"Grundy County",17063,"109,922","261"
"McLean County",17113,"112,015","237"
"Kane County",17089,"116,477","191"
"Kendall County",17093,"119,150","164"
"McHenry County",17111,"121,624","148"
"Will County",17197,"124,227","129"
"Monroe County",17133,"128,922","97"
"Lake County",17097,"132,828","77"
"DuPage County",17043,"136,376","63"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 11/24/2025. Available from https://hdpulse.nimhd.nih.gov

Notes:
"NA: Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity."
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income (Median family income), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#income."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
